Total_loss: 5.731388092041016	 Hash_loss: 5.480001068115234	 Classsifier_loss: 0.9630726397037506	 Entropy_loss: -2.3014924049377443
Total_loss: 5.728894996643066	 Hash_loss: 5.478530168533325	 Classsifier_loss: 0.9610285103321076	 Entropy_loss: -2.3014941453933715
Total_loss: 5.729064416885376	 Hash_loss: 5.4786468029022215	 Classsifier_loss: 0.9611335098743439	 Entropy_loss: -2.301491045951843
Total_loss: 5.727402782440185	 Hash_loss: 5.477673625946045	 Classsifier_loss: 0.9597575068473816	 Entropy_loss: -2.301495313644409
Total_loss: 5.727676916122436	 Hash_loss: 5.478014707565308	 Classsifier_loss: 0.9596226572990417	 Entropy_loss: -2.3014915943145753
Total_loss: 5.730160760879516	 Hash_loss: 5.47999324798584	 Classsifier_loss: 0.9606337785720825	 Entropy_loss: -2.301493000984192
Total_loss: 5.730912494659424	 Hash_loss: 5.480389356613159	 Classsifier_loss: 0.9613437056541443	 Entropy_loss: -2.3014880895614622
Total_loss: 5.728986358642578	 Hash_loss: 5.479305362701416	 Classsifier_loss: 0.9596598148345947	 Entropy_loss: -2.3014880895614622
Total_loss: 5.7284928321838375	 Hash_loss: 5.478820943832398	 Classsifier_loss: 0.9596424221992492	 Entropy_loss: -2.301493263244629
Total_loss: 5.727815246582031	 Hash_loss: 5.478975486755371	 Classsifier_loss: 0.9579762160778046	 Entropy_loss: -2.301483082771301
Total_loss: 5.727965879440307	 Hash_loss: 5.479141712188721	 Classsifier_loss: 0.9579453229904175	 Entropy_loss: -2.301484560966492
Total_loss: 5.728757905960083	 Hash_loss: 5.479571771621704	 Classsifier_loss: 0.9586688935756683	 Entropy_loss: -2.3014831066131594
Total_loss: 5.726889801025391	 Hash_loss: 5.478824806213379	 Classsifier_loss: 0.9564268946647644	 Entropy_loss: -2.301484727859497
Total_loss: 5.7267186641693115	 Hash_loss: 5.478506326675415	 Classsifier_loss: 0.9567224264144898	 Entropy_loss: -2.3014888525009156
Total_loss: 5.728468513488769	 Hash_loss: 5.4798060894012455	 Classsifier_loss: 0.9576231896877289	 Entropy_loss: -2.301491641998291
Total_loss: 5.728918647766113	 Hash_loss: 5.480499982833862	 Classsifier_loss: 0.9571332037448883	 Entropy_loss: -2.3014793157577516
Total_loss: 5.72740330696106	 Hash_loss: 5.479427194595337	 Classsifier_loss: 0.9562479376792907	 Entropy_loss: -2.301477837562561
Total_loss: 5.728431367874146	 Hash_loss: 5.479796695709228	 Classsifier_loss: 0.9575649082660675	 Entropy_loss: -2.3014779329299926
Total_loss: 5.729980611801148	 Hash_loss: 5.480693101882935	 Classsifier_loss: 0.9588715434074402	 Entropy_loss: -2.301482653617859
Total_loss: 5.728436231613159	 Hash_loss: 5.479852247238159	 Classsifier_loss: 0.9574649572372437	 Entropy_loss: -2.3014840126037597
Total_loss: 5.72662467956543	 Hash_loss: 5.478795909881592	 Classsifier_loss: 0.9559535026550293	 Entropy_loss: -2.3014808654785157
Total_loss: 5.725934171676636	 Hash_loss: 5.478457355499268	 Classsifier_loss: 0.9552494823932648	 Entropy_loss: -2.3014793395996094
Total_loss: 5.726957607269287	 Hash_loss: 5.479476022720337	 Classsifier_loss: 0.9552591025829316	 Entropy_loss: -2.3014791011810303
